product_name,quantity,price,date
mango,15,250.99,2023-11-23
cigarettes,35,123.0,2021-06-26
mango,75,250.99,2022-04-30
mango,15,250.99,2022-07-27
apple,92,10.5,2021-08-14
mango,6,250.99,2022-04-02
cigarettes,14,123.0,2023-11-05
cigarettes,37,123.0,2022-01-25
pear,54,15.7,2021-11-16
cigarettes,23,123.0,2022-08-02
cherry,57,25.6,2021-09-13
bread,51,15.4,2021-06-01
cigarettes,55,123.0,2022-11-01
bread,71,15.4,2023-05-23
bread,86,15.4,2022-07-22
pear,4,15.7,2023-06-30
mango,42,250.99,2021-11-11
pear,80,15.7,2022-02-09
apple,66,10.5,2021-01-10
cigarettes,76,123.0,2022-09-07
pear,32,15.7,2022-01-08
mango,27,250.99,2022-08-09
cigarettes,69,123.0,2023-02-17
mango,39,250.99,2022-11-07
cigarettes,98,123.0,2022-08-04
mango,37,250.99,2022-06-09
pear,35,15.7,2022-03-03
apple,54,10.5,2023-02-12
cigarettes,69,123.0,2021-03-27
apple,47,10.5,2021-03-02
apple,82,10.5,2023-06-12
mango,30,250.99,2022-08-16
cherry,16,25.6,2023-05-12
pear,64,15.7,2023-07-18
mango,2,250.99,2022-08-30
apple,42,10.5,2022-10-25
bread,35,15.4,2023-07-15
pear,4,15.7,2022-03-15
apple,66,10.5,2021-01-12
mango,55,250.99,2022-05-16
apple,47,10.5,2023-03-25
bread,3,15.4,2021-06-01
mango,81,250.99,2023-08-05
cherry,34,25.6,2021-03-23
bread,57,15.4,2021-05-09
cigarettes,56,123.0,2022-03-14
pear,76,15.7,2023-01-17
cigarettes,60,123.0,2023-06-08
bread,43,15.4,2023-06-26
bread,95,15.4,2022-05-18
mango,49,250.99,2023-05-21
cherry,72,25.6,2021-10-15
bread,37,15.4,2022-07-23
cigarettes,62,123.0,2021-05-15
apple,38,10.5,2022-10-18
cherry,90,25.6,2022-10-14
cigarettes,75,123.0,2021-06-13
pear,81,15.7,2023-08-13
mango,4,250.99,2022-10-22
bread,93,15.4,2022-04-11
bread,4,15.4,2023-09-29
mango,79,250.99,2022-05-19
cherry,75,25.6,2021-02-22
cherry,37,25.6,2023-02-22
apple,51,10.5,2022-08-20
cherry,96,25.6,2022-08-07
apple,46,10.5,2023-08-15
pear,82,15.7,2023-08-16
pear,30,15.7,2021-09-03
apple,8,10.5,2022-02-18
pear,60,15.7,2021-04-02
apple,81,10.5,2021-10-02
cherry,58,25.6,2023-09-26
mango,64,250.99,2022-02-14
cigarettes,17,123.0,2023-06-29
bread,80,15.4,2021-01-17
pear,59,15.7,2021-08-20
apple,49,10.5,2022-03-08
apple,94,10.5,2022-10-21
apple,12,10.5,2021-04-29
mango,9,250.99,2023-04-06
cigarettes,25,123.0,2023-11-05
cherry,59,25.6,2022-10-06
apple,56,10.5,2023-01-18
cigarettes,33,123.0,2021-07-02
cigarettes,15,123.0,2023-02-16
pear,59,15.7,2023-06-20
apple,93,10.5,2023-07-30
mango,31,250.99,2023-06-07
cherry,74,25.6,2023-02-18
pear,81,15.7,2021-05-06
cigarettes,1,123.0,2022-06-11
apple,85,10.5,2023-02-14
pear,83,15.7,2021-01-23
cigarettes,48,123.0,2023-11-08
pear,22,15.7,2022-11-18
mango,61,250.99,2023-09-12
apple,7,10.5,2021-01-24
cigarettes,98,123.0,2021-01-05
apple,87,10.5,2023-04-05
mango,26,250.99,2023-08-23
mango,37,250.99,2023-08-17
apple,87,10.5,2023-07-24
bread,73,15.4,2023-05-02
pear,68,15.7,2022-03-03
bread,83,15.4,2021-05-07
pear,55,15.7,2023-02-06
mango,30,250.99,2023-10-29
cherry,42,25.6,2021-05-11
cherry,26,25.6,2022-05-04
mango,49,250.99,2023-10-02
cherry,1,25.6,2021-01-10
cherry,94,25.6,2023-07-29
mango,99,250.99,2022-11-27
apple,81,10.5,2023-06-30
bread,33,15.4,2022-11-27
mango,31,250.99,2023-06-03
pear,63,15.7,2022-02-28
mango,43,250.99,2023-01-03
mango,72,250.99,2021-03-04
apple,59,10.5,2021-09-25
bread,81,15.4,2021-03-26
mango,67,250.99,2022-06-20
pear,15,15.7,2021-03-28
apple,76,10.5,2021-09-19
mango,68,250.99,2022-07-15
pear,72,15.7,2021-11-22
cigarettes,79,123.0,2023-02-06
apple,62,10.5,2021-05-27
mango,27,250.99,2023-09-22
cigarettes,75,123.0,2023-06-13
cherry,78,25.6,2023-11-17
cherry,40,25.6,2021-01-28
bread,58,15.4,2023-02-09
mango,66,250.99,2022-04-18
mango,30,250.99,2021-09-26
apple,37,10.5,2021-06-10
mango,54,250.99,2023-08-06
mango,36,250.99,2022-10-05
bread,86,15.4,2023-06-11
cherry,13,25.6,2021-02-04
bread,75,15.4,2022-11-21
pear,72,15.7,2022-02-13
cherry,38,25.6,2021-09-27
cigarettes,62,123.0,2021-08-05
pear,31,15.7,2022-10-26
pear,9,15.7,2021-07-25
pear,77,15.7,2022-06-24
cigarettes,62,123.0,2021-06-11
pear,29,15.7,2023-06-20
pear,12,15.7,2022-07-11
apple,15,10.5,2022-09-18
cigarettes,50,123.0,2021-04-05
apple,65,10.5,2022-10-10
mango,93,250.99,2022-10-24
cherry,41,25.6,2021-01-26
apple,12,10.5,2023-10-22
mango,70,250.99,2021-02-07
cigarettes,63,123.0,2022-08-24
bread,15,15.4,2022-06-21
bread,61,15.4,2021-03-18
cigarettes,73,123.0,2021-07-17
bread,6,15.4,2022-03-22
bread,24,15.4,2022-02-06
pear,25,15.7,2023-03-26
bread,90,15.4,2023-11-11
apple,85,10.5,2022-05-06
cigarettes,71,123.0,2023-05-16
apple,61,10.5,2023-10-11
mango,65,250.99,2023-10-09
cigarettes,40,123.0,2021-02-14
bread,32,15.4,2023-04-10
bread,75,15.4,2023-10-11
bread,94,15.4,2022-09-14
pear,42,15.7,2023-11-12
apple,12,10.5,2023-02-23
pear,27,15.7,2023-02-05
mango,52,250.99,2021-02-12
bread,61,15.4,2022-03-07
mango,9,250.99,2022-04-23
mango,19,250.99,2023-01-02
bread,11,15.4,2021-11-10
bread,54,15.4,2023-01-11
cigarettes,45,123.0,2023-08-30
cherry,62,25.6,2021-09-02
pear,33,15.7,2022-02-20
pear,59,15.7,2023-07-26
cigarettes,2,123.0,2021-06-21
bread,69,15.4,2021-04-12
pear,82,15.7,2022-08-14
cherry,72,25.6,2022-03-11
pear,87,15.7,2023-06-28
cigarettes,13,123.0,2022-07-22
cigarettes,30,123.0,2022-04-15
cherry,90,25.6,2022-08-18
pear,24,15.7,2021-09-14
mango,56,250.99,2022-09-05
apple,51,10.5,2022-11-24
cherry,86,25.6,2021-04-05
cherry,95,25.6,2021-02-14
cherry,58,25.6,2022-08-09
cherry,53,25.6,2021-01-29
cherry,45,25.6,2021-07-04
bread,53,15.4,2022-09-22
cigarettes,84,123.0,2023-01-17
cigarettes,69,123.0,2022-10-28
bread,10,15.4,2023-08-01
apple,22,10.5,2022-07-08
apple,29,10.5,2023-05-12
cherry,95,25.6,2023-03-02
mango,17,250.99,2021-01-12
bread,37,15.4,2021-06-19
cigarettes,68,123.0,2022-11-07
bread,48,15.4,2021-03-13
pear,26,15.7,2021-05-11
mango,71,250.99,2023-04-13
apple,30,10.5,2023-07-27
pear,11,15.7,2022-07-30
mango,30,250.99,2021-09-07
cherry,82,25.6,2022-09-03
apple,21,10.5,2023-03-02
pear,8,15.7,2021-03-10
pear,51,15.7,2022-09-05
apple,34,10.5,2021-11-24
bread,44,15.4,2021-11-21
bread,66,15.4,2022-11-06
bread,54,15.4,2021-03-19
bread,67,15.4,2021-11-16
cigarettes,52,123.0,2022-09-20
cigarettes,26,123.0,2021-01-12
pear,83,15.7,2021-02-04
bread,42,15.4,2021-04-16
bread,66,15.4,2021-05-17
bread,54,15.4,2022-10-09
mango,33,250.99,2021-07-03
cigarettes,89,123.0,2021-06-21
cigarettes,95,123.0,2021-03-24
mango,10,250.99,2022-02-28
mango,25,250.99,2022-02-13
pear,68,15.7,2021-01-29
pear,14,15.7,2023-03-25
cherry,42,25.6,2023-09-03
cherry,89,25.6,2021-09-16
mango,79,250.99,2022-07-12
cherry,45,25.6,2023-04-09
cherry,50,25.6,2021-04-20
cherry,59,25.6,2023-01-16
apple,5,10.5,2021-06-17
mango,44,250.99,2021-04-09
cigarettes,78,123.0,2023-07-26
cigarettes,36,123.0,2023-08-30
apple,16,10.5,2023-04-24
apple,31,10.5,2023-01-13
pear,14,15.7,2021-10-18
apple,56,10.5,2023-01-05
apple,99,10.5,2023-05-03
mango,83,250.99,2021-03-12
cigarettes,54,123.0,2021-01-17
cherry,4,25.6,2022-07-27
cherry,53,25.6,2022-09-09
mango,50,250.99,2022-11-15
mango,81,250.99,2021-03-21
pear,82,15.7,2023-01-09
bread,5,15.4,2022-01-17
cigarettes,85,123.0,2021-04-24
cherry,2,25.6,2022-11-21
apple,3,10.5,2023-01-01
apple,53,10.5,2023-10-09
apple,26,10.5,2023-08-07
cigarettes,28,123.0,2022-11-27
cigarettes,20,123.0,2023-01-01
bread,27,15.4,2022-09-18
pear,73,15.7,2022-02-04
cherry,83,25.6,2021-01-20
apple,49,10.5,2021-09-24
apple,70,10.5,2022-06-08
pear,99,15.7,2023-02-07
bread,65,15.4,2022-02-13
cherry,75,25.6,2021-02-26
apple,64,10.5,2021-08-18
cherry,57,25.6,2021-02-07
apple,73,10.5,2022-06-30
cherry,86,25.6,2022-07-18
pear,27,15.7,2023-05-07
apple,56,10.5,2021-09-07
cherry,84,25.6,2022-06-05
cherry,26,25.6,2023-06-06
bread,47,15.4,2021-04-05
apple,74,10.5,2023-02-18
mango,46,250.99,2022-06-05
cherry,58,25.6,2021-10-06
cherry,1,25.6,2022-03-21
bread,91,15.4,2022-06-11
mango,7,250.99,2023-08-03
mango,73,250.99,2022-09-30
pear,31,15.7,2023-03-12
cherry,38,25.6,2023-07-10
mango,80,250.99,2023-04-22
cherry,53,25.6,2023-05-08
pear,41,15.7,2022-04-15
apple,61,10.5,2023-08-30
pear,82,15.7,2021-01-08
pear,35,15.7,2022-08-06
cigarettes,43,123.0,2022-03-11
cherry,27,25.6,2023-10-21
mango,39,250.99,2022-07-10
cherry,48,25.6,2023-04-20
pear,75,15.7,2023-09-13
mango,25,250.99,2021-09-12
bread,45,15.4,2022-10-19
cherry,39,25.6,2023-01-12
pear,98,15.7,2022-01-04
pear,95,15.7,2022-08-09
apple,84,10.5,2023-08-07
cherry,4,25.6,2023-09-26
cherry,48,25.6,2023-07-22
cherry,13,25.6,2021-05-25
mango,22,250.99,2021-02-23
mango,5,250.99,2023-02-14
apple,55,10.5,2022-03-06
bread,24,15.4,2023-03-27
bread,38,15.4,2023-05-02
bread,12,15.4,2022-04-14
bread,24,15.4,2021-07-20
cigarettes,89,123.0,2023-02-07
cherry,31,25.6,2022-01-21
pear,18,15.7,2021-07-05
apple,64,10.5,2021-02-07
cigarettes,38,123.0,2023-05-16
pear,18,15.7,2022-04-07
mango,54,250.99,2021-08-12
bread,8,15.4,2022-06-28
pear,36,15.7,2021-07-11
bread,30,15.4,2021-08-25
cherry,43,25.6,2023-02-13
bread,28,15.4,2021-11-24
bread,92,15.4,2021-03-15
apple,13,10.5,2023-10-24
apple,59,10.5,2021-07-20
cigarettes,75,123.0,2022-01-24
apple,47,10.5,2023-11-26
mango,53,250.99,2021-02-25
apple,50,10.5,2022-01-17
cherry,95,25.6,2023-01-26
bread,98,15.4,2023-08-17
cigarettes,61,123.0,2021-11-11
apple,54,10.5,2021-07-10
cigarettes,84,123.0,2021-03-24
bread,62,15.4,2023-02-20
bread,71,15.4,2022-06-13
bread,70,15.4,2021-02-09
bread,71,15.4,2021-01-26
mango,85,250.99,2022-05-04
cigarettes,26,123.0,2023-03-04
cigarettes,35,123.0,2022-05-24
cherry,90,25.6,2021-03-08
cherry,23,25.6,2022-05-16
pear,36,15.7,2021-09-21
cigarettes,98,123.0,2022-09-04
pear,36,15.7,2021-07-09
mango,48,250.99,2022-02-15
cigarettes,12,123.0,2021-03-06
cigarettes,26,123.0,2023-04-22
cigarettes,47,123.0,2022-01-30
pear,5,15.7,2021-02-23
cherry,82,25.6,2023-02-25
cherry,93,25.6,2023-07-21
cherry,2,25.6,2022-08-20
apple,34,10.5,2022-04-01
pear,3,15.7,2021-05-22
bread,27,15.4,2023-06-05
cigarettes,3,123.0,2022-01-06
apple,71,10.5,2021-01-13
cigarettes,40,123.0,2021-11-30
pear,13,15.7,2023-08-14
pear,99,15.7,2021-04-24
cigarettes,80,123.0,2023-09-22
cherry,97,25.6,2023-03-19
pear,5,15.7,2022-10-07
pear,58,15.7,2023-03-07
mango,95,250.99,2023-03-16
bread,13,15.4,2021-03-10
cigarettes,28,123.0,2021-10-13
cherry,68,25.6,2022-09-23
cherry,74,25.6,2023-06-08
bread,74,15.4,2023-03-25
pear,82,15.7,2022-04-27
pear,59,15.7,2023-04-26
mango,26,250.99,2022-03-25
mango,90,250.99,2022-11-29
apple,13,10.5,2021-04-13
pear,4,15.7,2022-06-17
mango,60,250.99,2022-07-24
mango,51,250.99,2021-02-27
apple,96,10.5,2021-07-12
pear,97,15.7,2021-07-22
pear,68,15.7,2021-10-06
pear,46,15.7,2021-11-22
bread,5,15.4,2022-05-02
cigarettes,64,123.0,2023-03-01
bread,12,15.4,2022-10-03
pear,98,15.7,2022-04-16
mango,37,250.99,2021-10-16
cherry,45,25.6,2023-02-27
apple,48,10.5,2022-09-19
mango,77,250.99,2021-07-22
cherry,4,25.6,2022-08-29
pear,49,15.7,2022-08-22
pear,97,15.7,2023-04-09
cherry,84,25.6,2023-01-07
pear,77,15.7,2021-01-07
apple,5,10.5,2023-07-23
cigarettes,28,123.0,2023-10-25
pear,73,15.7,2022-05-12
apple,27,10.5,2023-01-03
bread,6,15.4,2022-03-18
pear,64,15.7,2021-10-29
cherry,32,25.6,2023-11-03
mango,80,250.99,2022-07-18
cigarettes,69,123.0,2022-06-21
apple,98,10.5,2022-07-09
pear,4,15.7,2022-06-06
pear,28,15.7,2023-01-20
pear,6,15.7,2022-03-04
cigarettes,2,123.0,2021-08-28
cigarettes,98,123.0,2021-06-28
cherry,76,25.6,2021-05-11
bread,4,15.4,2022-05-08
mango,66,250.99,2021-10-26
mango,18,250.99,2022-02-21
cherry,56,25.6,2022-06-05
mango,78,250.99,2022-10-17
pear,12,15.7,2021-05-13
apple,79,10.5,2022-03-18
pear,2,15.7,2022-11-23
bread,9,15.4,2023-01-26
pear,51,15.7,2021-01-12
apple,34,10.5,2023-09-19
cigarettes,41,123.0,2021-02-26
mango,94,250.99,2022-11-08
cigarettes,74,123.0,2023-11-14
cigarettes,44,123.0,2021-04-05
bread,48,15.4,2021-02-09
pear,90,15.7,2022-06-08
bread,30,15.4,2022-07-25
cigarettes,54,123.0,2021-02-16
cigarettes,18,123.0,2021-09-18
cherry,74,25.6,2022-05-15
cigarettes,82,123.0,2023-06-18
pear,14,15.7,2021-08-03
pear,44,15.7,2022-02-13
cherry,48,25.6,2022-02-17
cigarettes,89,123.0,2023-03-02
mango,78,250.99,2023-05-06
mango,17,250.99,2022-01-01
bread,31,15.4,2021-07-01
cigarettes,5,123.0,2021-02-24
cigarettes,77,123.0,2021-09-30
apple,59,10.5,2021-02-02
cherry,68,25.6,2023-10-14
bread,91,15.4,2022-11-06
apple,96,10.5,2022-07-06
apple,75,10.5,2021-03-06
pear,41,15.7,2022-04-10
cherry,39,25.6,2021-09-11
apple,45,10.5,2023-07-01
mango,36,250.99,2023-10-04
bread,32,15.4,2021-10-06
bread,92,15.4,2022-09-01
cigarettes,33,123.0,2023-10-25
apple,83,10.5,2021-08-30
bread,85,15.4,2021-11-17
apple,88,10.5,2023-04-24
cherry,98,25.6,2023-08-14
apple,59,10.5,2022-07-05
mango,34,250.99,2023-07-10
mango,54,250.99,2023-02-27
cherry,71,25.6,2021-09-25
cigarettes,37,123.0,2023-04-25
cherry,6,25.6,2023-03-29
mango,52,250.99,2022-03-23
cherry,31,25.6,2022-01-24
apple,86,10.5,2021-11-28
bread,4,15.4,2022-05-05
cigarettes,14,123.0,2021-02-13
apple,62,10.5,2021-03-20
apple,36,10.5,2022-09-17
pear,74,15.7,2023-07-01
bread,63,15.4,2023-03-17
cigarettes,41,123.0,2022-05-03
bread,34,15.4,2022-11-24
cigarettes,21,123.0,2021-10-26
apple,80,10.5,2021-05-29
pear,89,15.7,2021-04-18
bread,38,15.4,2022-11-30
cherry,10,25.6,2021-08-12
cigarettes,20,123.0,2022-10-07
apple,9,10.5,2023-02-21
bread,36,15.4,2022-10-15
cigarettes,56,123.0,2022-08-12
bread,7,15.4,2022-04-28
bread,77,15.4,2022-04-23
pear,8,15.7,2021-02-27
cigarettes,41,123.0,2022-04-04
mango,58,250.99,2022-06-29
pear,58,15.7,2023-08-29
cigarettes,88,123.0,2023-05-20
cigarettes,87,123.0,2021-06-06
mango,53,250.99,2023-09-27
cherry,75,25.6,2021-05-13
cigarettes,89,123.0,2023-01-22
bread,13,15.4,2023-02-11
pear,55,15.7,2021-03-22
cigarettes,20,123.0,2021-06-05
cigarettes,85,123.0,2023-03-08
cherry,21,25.6,2022-10-18
pear,92,15.7,2022-04-11
cigarettes,91,123.0,2021-03-11
cigarettes,67,123.0,2021-09-08
bread,6,15.4,2021-10-03
pear,6,15.7,2021-10-06
bread,87,15.4,2022-06-18
apple,33,10.5,2022-10-14
apple,14,10.5,2023-10-26
bread,44,15.4,2021-06-29
mango,50,250.99,2021-07-10
mango,98,250.99,2022-11-23
bread,72,15.4,2022-11-30
pear,6,15.7,2022-01-13
bread,92,15.4,2023-01-09
cherry,71,25.6,2021-04-25
mango,68,250.99,2022-02-18
cigarettes,14,123.0,2023-03-25
pear,88,15.7,2021-01-16
mango,4,250.99,2023-03-25
pear,74,15.7,2021-04-08
pear,67,15.7,2022-06-07
bread,14,15.4,2022-08-28
apple,9,10.5,2023-04-24
bread,61,15.4,2022-07-29
bread,17,15.4,2021-11-16
bread,78,15.4,2021-01-07
cigarettes,68,123.0,2023-04-13
pear,21,15.7,2023-05-03
cigarettes,77,123.0,2023-06-26
cigarettes,48,123.0,2021-06-14
cigarettes,85,123.0,2022-07-08
cigarettes,24,123.0,2021-02-13
bread,48,15.4,2023-02-07
pear,5,15.7,2021-09-16
cherry,81,25.6,2021-08-27
apple,16,10.5,2022-10-05
mango,23,250.99,2022-04-02
bread,74,15.4,2021-08-25
mango,78,250.99,2021-07-14
cigarettes,7,123.0,2023-04-05
bread,16,15.4,2022-07-26
apple,5,10.5,2022-05-29
mango,93,250.99,2023-07-01
mango,21,250.99,2021-02-05
cherry,44,25.6,2022-10-07
mango,47,250.99,2023-01-24
cherry,25,25.6,2021-11-14
mango,92,250.99,2023-07-01
cherry,96,25.6,2021-01-28
cherry,51,25.6,2023-02-21
cigarettes,50,123.0,2023-05-10
apple,6,10.5,2021-06-22
mango,73,250.99,2021-07-22
mango,16,250.99,2022-09-23
cherry,25,25.6,2021-01-27
apple,24,10.5,2022-05-29
pear,44,15.7,2021-09-28
cherry,6,25.6,2022-10-25
cigarettes,99,123.0,2023-01-30
cigarettes,8,123.0,2023-11-12
pear,92,15.7,2022-06-14
cherry,76,25.6,2021-10-26
cherry,64,25.6,2023-11-20
pear,68,15.7,2021-09-22
cherry,55,25.6,2023-01-05
pear,77,15.7,2022-06-19
pear,70,15.7,2022-02-05
pear,45,15.7,2022-03-29
cherry,73,25.6,2023-04-03
cherry,72,25.6,2021-04-15
cherry,50,25.6,2023-10-26
cigarettes,62,123.0,2022-06-08
apple,46,10.5,2023-06-01
cigarettes,37,123.0,2022-04-07
cigarettes,69,123.0,2022-07-19
cigarettes,76,123.0,2023-11-22
pear,25,15.7,2022-04-15
mango,68,250.99,2021-02-03
cigarettes,15,123.0,2021-11-05
bread,14,15.4,2022-02-08
bread,55,15.4,2023-09-05
cherry,36,25.6,2021-10-26
apple,58,10.5,2023-01-22
cherry,75,25.6,2023-07-02
bread,10,15.4,2023-09-12
pear,92,15.7,2021-02-23
pear,51,15.7,2022-07-08
pear,2,15.7,2021-08-26
cigarettes,63,123.0,2021-07-05
apple,71,10.5,2022-11-16
cigarettes,63,123.0,2021-09-22
apple,69,10.5,2023-06-11
apple,65,10.5,2023-02-21
pear,57,15.7,2022-04-10
bread,62,15.4,2021-07-21
apple,96,10.5,2021-11-11
cigarettes,24,123.0,2021-04-09
apple,65,10.5,2023-01-09
cherry,32,25.6,2022-10-11
mango,6,250.99,2021-10-20
cigarettes,7,123.0,2023-04-30
pear,85,15.7,2023-03-09
cherry,78,25.6,2022-05-19
cherry,77,25.6,2022-02-20
cherry,52,25.6,2023-07-12
cigarettes,77,123.0,2021-07-14
cherry,92,25.6,2022-01-13
pear,16,15.7,2021-01-01
cherry,38,25.6,2023-04-30
bread,92,15.4,2022-11-05
apple,78,10.5,2023-10-05
cherry,24,25.6,2023-06-20
mango,58,250.99,2022-07-07
cigarettes,59,123.0,2021-04-30
mango,26,250.99,2021-01-12
pear,23,15.7,2021-04-28
apple,81,10.5,2023-03-26
cherry,16,25.6,2023-08-12
cigarettes,3,123.0,2023-08-11
pear,2,15.7,2023-11-13
mango,98,250.99,2023-06-10
bread,18,15.4,2023-05-24
pear,56,15.7,2023-10-22
cigarettes,59,123.0,2021-06-01
mango,32,250.99,2022-07-21
pear,25,15.7,2021-08-09
cherry,20,25.6,2022-02-26
pear,16,15.7,2021-10-05
bread,42,15.4,2021-03-02
bread,42,15.4,2021-11-03
cigarettes,42,123.0,2023-10-07
bread,26,15.4,2021-11-12
apple,42,10.5,2021-01-24
cigarettes,34,123.0,2023-07-21
apple,78,10.5,2021-03-04
apple,91,10.5,2021-06-21
apple,50,10.5,2022-11-26
cigarettes,38,123.0,2022-10-14
apple,72,10.5,2023-06-07
cigarettes,15,123.0,2023-11-28
apple,22,10.5,2021-03-07
apple,69,10.5,2021-06-21
mango,12,250.99,2022-02-20
cherry,1,25.6,2021-02-05
pear,76,15.7,2022-08-08
bread,87,15.4,2021-04-07
pear,72,15.7,2022-03-09
mango,98,250.99,2021-11-12
pear,67,15.7,2021-06-29
cherry,94,25.6,2023-08-27
cigarettes,52,123.0,2021-01-04
pear,5,15.7,2021-06-09
apple,76,10.5,2023-10-06
apple,66,10.5,2021-07-18
apple,56,10.5,2021-04-24
bread,19,15.4,2021-05-09
apple,94,10.5,2023-01-22
pear,67,15.7,2022-06-09
bread,82,15.4,2021-07-17
cigarettes,51,123.0,2021-03-25
apple,96,10.5,2021-03-22
pear,44,15.7,2021-08-11
apple,9,10.5,2022-11-16
pear,6,15.7,2023-10-13
cigarettes,47,123.0,2021-04-29
cherry,55,25.6,2023-11-06
apple,92,10.5,2023-07-16
bread,5,15.4,2021-06-18
bread,16,15.4,2022-06-10
mango,52,250.99,2022-08-03
cherry,45,25.6,2022-10-26
apple,82,10.5,2021-09-15
pear,63,15.7,2023-11-22
bread,88,15.4,2023-02-06
mango,29,250.99,2021-06-17
apple,39,10.5,2022-05-29
cigarettes,36,123.0,2021-02-19
cherry,7,25.6,2023-03-19
apple,21,10.5,2022-10-07
pear,60,15.7,2023-02-07
bread,21,15.4,2022-06-29
bread,95,15.4,2023-09-03
bread,64,15.4,2023-10-06
pear,35,15.7,2021-01-29
mango,84,250.99,2023-08-21
cigarettes,91,123.0,2022-10-05
cherry,8,25.6,2021-03-17
pear,22,15.7,2022-08-02
apple,85,10.5,2023-02-26
apple,88,10.5,2021-01-30
pear,90,15.7,2021-09-12
pear,21,15.7,2023-05-07
cherry,14,25.6,2023-02-01
cherry,49,25.6,2021-02-11
bread,13,15.4,2023-02-14
bread,89,15.4,2021-10-08
apple,34,10.5,2021-03-27
bread,5,15.4,2022-11-20
cigarettes,26,123.0,2021-08-17
bread,30,15.4,2021-09-22
cherry,98,25.6,2021-07-05
bread,94,15.4,2022-04-23
cherry,87,25.6,2023-07-17
cigarettes,43,123.0,2022-01-02
pear,87,15.7,2021-06-06
bread,4,15.4,2022-09-01
mango,88,250.99,2022-09-22
cherry,44,25.6,2022-01-07
pear,89,15.7,2023-03-27
cigarettes,27,123.0,2021-08-09
mango,26,250.99,2023-10-01
cherry,79,25.6,2023-11-25
mango,66,250.99,2021-11-29
cherry,87,25.6,2022-11-09
cigarettes,10,123.0,2023-11-18
apple,74,10.5,2021-10-30
mango,96,250.99,2021-05-11
mango,74,250.99,2022-07-09
cigarettes,64,123.0,2021-07-25
bread,57,15.4,2023-09-11
bread,81,15.4,2023-06-27
pear,17,15.7,2022-03-22
bread,69,15.4,2021-02-02
apple,70,10.5,2023-09-16
mango,71,250.99,2022-11-14
mango,43,250.99,2022-11-04
mango,89,250.99,2022-07-24
bread,94,15.4,2021-01-03
apple,13,10.5,2021-11-27
pear,14,15.7,2021-04-04
pear,63,15.7,2023-10-13
mango,20,250.99,2022-10-29
bread,83,15.4,2022-02-14
mango,62,250.99,2022-06-16
mango,44,250.99,2021-03-07
bread,99,15.4,2023-01-10
apple,77,10.5,2022-02-28
